customer_key,customer_id,customer_name,sub_trade_channel,trade_channel,super_channel,business_segment,business_type,sales_organization,sales_office,market_unit,cdm_tier
5837,600365101,WALMART #2309 SC BRK RM CANS,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,FSV - Full Service,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5838,600365239,CINCINNATI PREMIUM OUTLETS IS MGMT,OTHER GENERAL MERCHA,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,FSV - Full Service,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5839,600365587,HILMON SCHOOL TCH LNG,EDUCATION - NON REST,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5840,600366688,LAKOTA WEST BUS ENTRNCE STAIR FRNT,SECONDARY/HIGH SCHOO,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5841,600366789,VG COLLEGE HILL APTS BLDG 600 2ND FL LND,OTHER LODGING,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,FSV - Full Service,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5842,600400677,WALMART #1622 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,Katherine Fonde
5843,600400691,WALMART #3840 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,Katherine Fonde
5844,600400710,WALMART #1441 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5845,600400729,WALMART #3784 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5846,600400730,WALMART #3749 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5847,600400736,WALMART #1564 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,Katherine Fonde
5848,600400744,CIRCLE K #4705657,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,
5849,600400746,FAMILY DOLLAR #07529,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5850,600400789,KROGER #0355,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5851,600400793,KROGER #0335,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5852,600400828,WALGREENS #02136,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5853,600400829,WALGREENS #03807,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5854,600400834,WALGREENS #04245,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5855,600400845,ARA #5128,FULL LINE OPERATOR,FULL LINE OPERATOR,WHOLESALE/CONTRACT VENDING,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5856,600400851,WALGREENS #11269,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5857,600400869,CVS #06141,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5858,600400880,KROGER #0741,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5859,600400936,KROGER #0421,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5860,600400942,WALMART #2124 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,Katherine Fonde
5861,600400959,SDX MARATHON OIL CO SMS MARRIOTT,HOTEL/MOTEL/RESORT/I,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,
5862,600400970,KROGER #0482,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5863,600400982,MENARDS #3255,HARDWARE/HOME IMPROV,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5864,600400993,CIRCLE K #4705557,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5865,600401001,WALMART #5374 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,Katherine Fonde
5866,600401006,WALGREENS #12832,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5867,600401016,KROGER #0312,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5868,600401017,KROGER #0348,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5869,600401019,WALGREENS #11294,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5870,600401022,WALMART #2250 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5871,600401035,KROGER #0935,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5872,600401046,TARGET #1946,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5873,600401061,WALGREENS #02875,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5874,600401066,WALGREENS #07941,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5875,600401091,KROGER #0902,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5876,600401098,BIG LOTS #1817,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5877,600401115,WALGREENS #07683,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,
5878,600401123,SHOE CARNIVAL #0067,OTHER GENERAL MERCHA,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5879,600401126,WALGREENS #07799,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5880,600401136,FAMILY DOLLAR #08961,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5881,600401160,WALMART #1330 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"LIMA, OH",MID WEST MUGM,Katherine Fonde
5882,600401168,WALMART #2035 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,Katherine Fonde
5883,600401207,KROGER #0722,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5884,600401274,FOSTORIA HOSPITAL,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,
5885,600401293,FAMILY DOLLAR #05458,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5886,600401329,ADVANCE AUTO PARTS #5336,OTHER AUTOMOTIVE SER,AUTOMOTIVE SERVICES,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5887,600401358,ADVANCE AUTO PARTS #7714,OTHER AUTOMOTIVE SER,AUTOMOTIVE SERVICES,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5888,600401395,WALMART #5104 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,Katherine Fonde
5889,600401409,FAMILY DOLLAR #10543,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5890,600401436,FAMILY DOLLAR #11354,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5891,600401439,BARNES AND NOBLE #8170,OTHER COLLEGE/UNIVER,COLLEGE/UNIVERSITY,EDUCATIONAL,ON PREMISE,DSD,CCBCC Operations,"LIMA, OH",MID WEST MUGM,
5892,600401440,BUFORD CONVENIENT MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5893,600401442,FAMILY DOLLAR #10115,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5894,600401452,MENARDS #3331,HARDWARE/HOME IMPROV,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5895,600401485,WALMART #3571 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5896,600401487,WALMART #1289 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5897,600401499,FAMILY DOLLAR #01466,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"LIMA, OH",MID WEST MUGM,
5898,600401529,WALGREENS #07441,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"LIMA, OH",MID WEST MUGM,
5899,600401540,PILOT TRAVEL CTR #0239,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LIMA, OH",MID WEST MUGM,
5900,600401545,MURPHY USA #6833,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5901,600401553,KROGER #0747,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5902,600401568,CIRCLE K #4705229,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5903,600401638,BIG LOTS #1671,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5904,600401641,WALMART #2542 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,Katherine Fonde
5905,600401663,WALGREENS #06471,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5906,600401697,FAMILY DOLLAR #02130,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5907,600401713,WALMART #2447 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,Katherine Fonde
5908,600401720,MURPHY USA #7397,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5909,600401743,WALMART #2572 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,Katherine Fonde
5910,600401788,KROGER #0825,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5911,600401791,KROGER #0412,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5912,600401799,WALGREENS #04521,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5913,600401812,TARGET #1129,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5914,600401825,KROGER #0433,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5915,600401828,WALGREENS #05196,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5916,600401830,BIG LOTS #1187,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,
5917,600401838,CVS #06349,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5918,600401841,WALMART #1478 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,Katherine Fonde
5919,600401847,FAMILY DOLLAR #04068,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5920,600401866,WALGREENS #06521,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
5921,600401885,BIG LOTS #1505,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5922,600401886,WALGREENS #05205,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5923,600402958,REMKES BUTTERMILK #0007,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5924,600403030,RECEPTIONS INC SOUTH,OTHER EATING & DRINK,OTHER EATING & DRINKING,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5925,600403103,BP INDIAN TRAIL SAASOA,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5926,600403156,SOUTHSIDE DELI MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5927,600403173,DOLLAR GENERAL #02283,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5928,600403189,DOLLAR GENERAL #02235,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5929,600403193,DOLLAR GENERAL #08986,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5930,600403199,DOLLAR GENERAL #01269,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5931,600403202,JAY C FOOD STORE #0017,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5932,600403213,HARMEYER GROCERY,INDEPENDENT SUPERMAR,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5933,600403220,BATESVILLE FOOD MART SAASOA,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5934,600403228,MOORES HILL PACKAGE STORE,LIQUOR/BEER/WINE-OP,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5935,600403244,WENTWORTH GROCERY #1,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5936,600403249,DETERS AND DAUGHTERS LIQUORS,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5937,600403291,BELLEVIEW GROCERY,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5938,600403296,COWBOYS #0107,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5939,600403302,RISING SUN SHELL,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5940,600403312,RIVER CITY MARATHON,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5941,600403314,TRIUMPH ENERGY #0047,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5942,600403331,DOLLAR GENERAL #00337,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5943,600403332,DOLLAR GENERAL #04960,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5944,600403340,DOLLAR GENERAL #10664,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5945,600403366,UNITED DAIRY FARMERS #0060,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5946,600403381,BLUE PANTRY #0001,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5947,600403382,BLUE PANTRY #0002,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5948,600403399,SHELL OF FORT WRIGHT,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5949,600403540,BLUE PANTRY #0003,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5950,600403549,ST ELIZABETH HOSPITAL,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5951,600403647,SPEEDWAY #9725,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5952,600403657,RIPS FARM CTR,OTHER GENERAL MERCHA,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5953,600403706,EZY STOP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5954,600403764,DEATONS MARKET LLC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5955,600403910,MCELROYS BP CARRYOUT LLC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5956,600403943,ACAPULCO MEXICAN,FSR-MEXICAN,FULL SERVICE RESTAURANT-FSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5957,600403945,ST E FLORENCE HOPITAL,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5958,600403973,MARATHON OF FLORENCE,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5959,600404118,SUPER CHINESE BUFFET,FSR-ASIAN,FULL SERVICE RESTAURANT-FSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5960,600404271,K AND M PETROLEUM,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5961,600404288,SPEEDWAY #7405,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5962,600404333,JNG MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5963,600404357,CLARKS PUMP N SHOP #0052,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"PORTSMOUTH, OH",CENTRAL MUGM,
5964,600404676,CINEMARK #01091FLORENCE #14,CINEMA/MOVIE,AMUSEMENT,AMUSEMENT/RECREATION/LEISURE,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5965,600404755,KTS FOOD MARTKTS PETRO INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5966,600404768,OLYMPIC SHELLINDERJEET MANN LLC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5967,600404826,DOLLAR GENERAL #21966,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5968,600404900,1ST STOP #0034,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5969,600404936,COMMONWEALTH BP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5970,600405121,FT MITCHELL SHELL,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5971,600405130,JAYS GROCERY LLC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
5972,600405204,DOLLAR GENERAL #15646,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
